CMG,B Relative Weight,C Relative Weight,D Relative Weight,A Relative Weight,B Avg Length Of Stay,C Avg Length Of Stay,D Avg Length Of Stay,A Avg Length Of Stay
0101,0.8505,0.7289,0.6734,0.6435, 9, 9, 9, 8
0102,1.0680,0.9152,0.8455,0.8080,11,12,10,10
0103,1.2076,1.0349,0.9560,0.9136,13,13,12,11
0104,1.2954,1.1102,1.0256,0.9800,13,13,12,12
0105,1.5073,1.2918,1.1933,1.1404,14,14,14,13
0106,1.6695,1.4307,1.3217,1.2630,16,16,15,15
0107,1.8640,1.5975,1.4758,1.4103,17,17,16,16
0108,2.3689,2.0301,1.8754,1.7922,21,23,21,20
0109,2.1373,1.8317,1.6921,1.6170,19,19,19,19
0110,2.7867,2.3882,2.2063,2.1083,27,26,23,24
0201,0.8537,0.6885,0.6269,0.5749, 9, 9, 9, 7
0202,1.0944,0.8827,0.8037,0.7369,12,11,10, 9
0203,1.2638,1.0192,0.9280,0.8510,12,13,11,11
0204,1.3883,1.1197,1.0195,0.9348,11,12,12,12
0205,1.6317,1.3160,1.1982,1.0987,15,15,14,13
0206,1.9691,1.5881,1.4460,1.3259,18,18,16,15
0207,2.5114,2.0255,1.8443,1.6911,28,23,19,18
0301,1.1608,0.9425,0.8574,0.8103,10,11,10,10
0302,1.4099,1.1447,1.0414,0.9842,13,13,12,12
0303,1.6565,1.3450,1.2236,1.1563,15,15,13,13
0304,2.1517,1.7470,1.5893,1.5020,21,19,17,16
0401,0.9016,0.8476,0.7569,0.6842,12,12,10, 9
0402,1.2903,1.2130,1.0831,0.9792,13,14,13,12
0403,2.0938,1.9683,1.7576,1.5889,22,22,19,18
0404,3.6744,3.4541,3.0844,2.7884,42,36,31,32
0405,3.3965,3.1929,2.8512,2.5776,33,35,31,27
0501,0.9313,0.7002,0.6637,0.6090, 9, 9, 9, 7
0502,1.2192,0.9167,0.8689,0.7973,12,10,10,10
0503,1.5288,1.1495,1.0895,0.9998,16,13,12,12
0504,1.7362,1.3054,1.2373,1.1354,17,15,14,13
0505,1.9897,1.4960,1.4179,1.3011,18,17,16,15
0506,2.7549,2.0714,1.9632,1.8015,26,23,21,20
0601,1.0661,0.8148,0.7562,0.6879,10, 9, 9, 8
0602,1.3922,1.0640,0.9876,0.8984,12,12,11,11
0603,1.7073,1.3049,1.2111,1.1017,14,14,13,13
0604,2.2213,1.6977,1.5757,1.4334,19,18,16,16
0701,1.0372,0.8298,0.7877,0.7175,12,11,10, 9
0702,1.3168,1.0534,1.0001,0.9109,12,12,11,11
0703,1.5903,1.2722,1.2078,1.1001,15,14,14,13
0704,2.0160,1.6128,1.5311,1.3946,18,18,17,16
0801,0.8710,0.6418,0.6113,0.5644, 8, 8, 7, 7
0802,1.1197,0.8249,0.7858,0.7255,11,10, 9, 9
0803,1.4515,1.0694,1.0187,0.9406,13,13,12,11
0804,1.3342,0.9830,0.9363,0.8645,12,11,11,10
0805,1.5821,1.1657,1.1103,1.0252,14,13,12,12
0806,1.9159,1.4116,1.3445,1.2415,16,16,15,14
0901,1.0053,0.8078,0.7245,0.6736,10,10, 9, 8
0902,1.3219,1.0621,0.9526,0.8858,12,12,11,10
0903,1.6223,1.3035,1.1691,1.0870,15,14,13,13
0904,2.0319,1.6327,1.4643,1.3615,18,18,16,15
1001,1.0461,0.9022,0.7937,0.7245,10,11,10, 9
1002,1.3734,1.1844,1.0421,0.9512,13,13,12,11
1003,2.0115,1.7348,1.5262,1.3931,18,18,17,16
1101,1.3160,1.1741,1.0154,0.8714,12,14,12,10
1102,1.9052,1.6998,1.4701,1.2615,17,23,15,14
1201,1.2296,0.9239,0.8627,0.7939, 9,11,10,10
1202,1.5807,1.1877,1.1090,1.0206,11,13,13,12
1203,1.9306,1.4506,1.3545,1.2466,12,15,15,14
1301,1.2253,0.9248,0.8323,0.7983,10,10,10, 9
1302,1.6852,1.2720,1.1447,1.0980,16,14,12,13
1303,2.1972,1.6584,1.4925,1.4315,18,18,16,16
1401,0.9289,0.7480,0.6832,0.6204,10, 8, 8, 8
1402,1.2231,0.9849,0.8997,0.8169,12,11,10,10
1403,1.4635,1.1785,1.0764,0.9774,13,13,12,11
1404,1.8540,1.4929,1.3637,1.2382,17,16,15,14
1501,1.0171,0.8497,0.7768,0.7449,10, 9, 9, 8
1502,1.3119,1.0959,1.0020,0.9607,11,12,11,10
1503,1.5971,1.3341,1.2197,1.1696,14,14,12,12
1504,1.9783,1.6526,1.5109,1.4487,20,16,15,14
1601,1.1488,0.9072,0.8293,0.7609,10,11,10, 9
1602,1.5294,1.2078,1.1040,1.0130,12,14,13,12
1603,1.9062,1.5054,1.3759,1.2625,14,16,15,14
1701,1.1972,0.9344,0.8406,0.7717,10,10,10, 9
1702,1.5294,1.1936,1.0739,0.9858,14,14,12,12
1703,1.8066,1.4100,1.2686,1.1645,17,15,14,14
1704,2.2842,1.7827,1.6039,1.4723,21,19,17,17
1801,1.2772,0.9992,0.8861,0.8123,12,11,10,10
1802,1.8275,1.4298,1.2679,1.1624,17,16,14,14
1803,2.8872,2.2589,2.0031,1.8364,33,26,21,20
1901,1.2930,1.0758,0.9919,0.9474,13,12,12,11
1902,2.2297,1.8550,1.7103,1.6336,23,20,21,18
1903,3.7343,3.1069,2.8646,2.7361,41,32,28,30
2001,0.9444,0.7644,0.6979,0.6338, 9, 9, 8, 8
2002,1.2403,1.0039,0.9167,0.8325,11,11,10,10
2003,1.5431,1.2490,1.1404,1.0357,14,14,13,12
2004,1.9716,1.5958,1.4571,1.3233,18,17,15,15
2101,1.8289,1.8238,1.3855,1.2884,29,17,15,14
5001, 0    , 0    , 0    ,0.1565, 0, 0, 0, 2
5101, 0    , 0    , 0    ,0.6581, 0, 0, 0, 7
5102, 0    , 0    , 0    ,1.6393, 0, 0, 0,18
5103, 0    , 0    , 0    ,0.8132, 0, 0, 0, 9
5104, 0    , 0    , 0    ,2.0334, 0, 0, 0,21
9999, 0    , 0    , 0    ,0.0000, 0, 0, 0, 0
